A   || C D E F    || 9 7 13 20  || 15 6 8 7   || 9 7 13 20  || 24 13 21 27     || D13 E21 C24 F27      || D13 E21 C24 F27 
D   || E H        || 4 8        || 8 10       || 11 15      || 19 25           || E19 H25              || E19 H25 E21 C24 F27 
E   || K I        || 4 3        || 2 4        || 15 14      || 17 18           || K17 I18              || K17 I18 H25 E21 C24 F27 
K   || B          || 6          || 0          || 21         || 21              || B21                  || B21 I18 H25 E21 C24 F27 
B   ||            ||            ||            ||            ||                 ||                      || I18 H25 E21 C24 F27 
I   || K B        || 9 5        || 2 0        || 23 19      || 25 19           || B19 K25              || B19 K25 H25 E21 C24 F27 
B   ||            ||            ||            ||            ||                 ||                      || K25 H25 E21 C24 F27 
K   || B          || 6          || 0          || 29         || 29              || B29                  || B29 H25 E21 C24 F27 
B   ||            ||            ||            ||            ||                 ||                      || H25 E21 C24 F27 
H   || K          || 5          || 2          || 20         || 22              || K22                  || K22 E21 C24 F27 
K   || B          || 6          || 0          || 26         || 26              || B26                  || B26 E21 C24 F27 
B   ||            ||            ||            ||            ||                 ||                      || E21 C24 F27    
E   || K I        || 4 3        || 2 4        || 17 16      || 19 20           || K19 I20              || K19 I20 C24 F27 
K   || B          || 6          || 0          || 23         || 23              || B23                  || B23 I20 C24 F27 
B   ||            ||            ||            ||            ||                 ||                      || I20 C24 F27    
I   || K B        || 9 5        || 2 0        || 25 21      || 27 21           || B21 K27              || B21 K27 C24 F27 
B   ||            ||            ||            ||            ||                 ||                      || K27 C24 F27    
K   || B          || 6          || 0          || 31         || 31              || B31                  || B31 C24 F27    
B   ||            ||            ||            ||            ||                 ||                      || C24 F27        
C   || H          || 6          || 10         || 15         || 25              || H25                  || H25 F27        
H   || K          || 5          || 2          || 20         || 22              || K22                  || K22 F27        
K   || B          || 6          || 0          || 26         || 26              || B26                  || B26 F27        
B   ||            ||            ||            ||            ||                 ||                      || F27            
F   || G I        || 4 6        || 12 4       || 24 26      || 36 30           || I30 G36              || I30 G36        
I   || K B        || 9 5        || 2 0        || 35 31      || 37 31           || B31 K37              || B31 K37 G36    
B   ||            ||            ||            ||            ||                 ||                      || K37 G36        
K   || B          || 6          || 0          || 41         || 41              || B41                  || B41 G36        
B   ||            ||            ||            ||            ||                 ||                      || G36            
G   ||            ||            ||            ||            ||                 ||                      ||                
A F G  Length: 24
